 8161   # of boundary nodes
 25890 2 2 2 2
 25893 2 2 2 2
 25894 2 2 2 2
 25902 2 2 2 2
 25920 2 2 2 2
 25930 2 2 2 2
 25932 2 2 2 2
 25933 2 2 2 2
 25935 2 2 2 2
 25939 2 2 2 2
 25940 2 2 2 2
 25968 2 2 2 2
 25969 2 2 2 2
 25972 2 2 2 2
 25993 2 2 2 2
 25999 2 2 2 2
 26000 2 2 2 2
 26001 2 2 2 2
 26069 2 2 2 2
 26093 2 2 2 2
 26094 2 2 2 2
 26095 2 2 2 2
 26153 2 2 2 2
 26154 2 2 2 2
 26155 2 2 2 2
 26156 2 2 2 2
 26159 2 2 2 2
 26251 2 2 2 2
 26257 2 2 2 2
 26258 2 2 2 2
 26263 2 2 2 2
 26613 1 1 1 1
 26636 1 1 1 1
 26666 1 1 1 1
 27382 1 1 1 1
 27391 1 1 1 1
 27392 1 1 1 1
 27421 1 1 1 1
 27422 1 1 1 1
 27428 1 1 1 1
 27431 1 1 1 1
 27433 1 1 1 1
 27434 1 1 1 1
 27468 1 1 1 1
 27471 1 1 1 1
 27472 1 1 1 1
 27474 1 1 1 1
 27475 1 1 1 1
 27541 1 1 1 1
 27542 1 1 1 1
 27557 1 1 1 1
 27860 1 1 1 1
 27862 1 1 1 1
 27874 1 1 1 1
 27875 1 1 1 1
 27931 1 1 1 1
 27932 1 1 1 1
 27933 1 1 1 1
 27942 1 1 1 1
 27943 1 1 1 1
 27946 1 1 1 1
 27951 1 1 1 1
 27952 1 1 1 1
 27953 1 1 1 1
 27954 1 1 1 1
 27955 1 1 1 1
 27956 1 1 1 1
 28057 2 2 2 2
 28058 2 2 2 2
 28060 2 2 2 2
 28072 2 2 2 2
 28074 2 2 2 2
 28077 2 2 2 2
 28081 2 2 2 2
 28082 2 2 2 2
 28088 2 2 2 2
 28089 2 2 2 2
 28098 2 2 2 2
 28099 2 2 2 2
 28100 2 2 2 2
 28101 2 2 2 2
 28142 2 2 2 2
 28144 2 2 2 2
 28145 2 2 2 2
 28190 2 2 2 2
 28191 2 2 2 2
 28194 2 2 2 2
 28195 2 2 2 2
 28200 2 2 2 2
 28201 2 2 2 2
 28564 1 1 1 1
 28565 1 1 1 1
 29056 1 1 1 1
 29057 1 1 1 1
 29058 1 1 1 1
 29084 1 1 1 1
 29085 1 1 1 1
 29086 1 1 1 1
 29087 1 1 1 1
 29104 1 1 1 1
 29105 1 1 1 1
 29230 1 1 1 1
 29235 1 1 1 1
 29238 1 1 1 1
 29239 1 1 1 1
 29240 1 1 1 1
 29241 1 1 1 1
 29246 1 1 1 1
 29247 1 1 1 1
 29248 1 1 1 1
 29267 1 1 1 1
 29280 1 1 1 1
 29281 1 1 1 1
 29283 1 1 1 1
 29387 1 1 1 1
 29388 1 1 1 1
 29393 1 1 1 1
 29394 1 1 1 1
 29395 1 1 1 1
 29613 2 2 2 2
 29614 2 2 2 2
 29615 2 2 2 2
 29616 2 2 2 2
 29770 1 1 1 1
 29771 1 1 1 1
 29776 1 1 1 1
 30314 1 1 1 1
 30315 1 1 1 1
 30327 1 1 1 1
 30337 1 1 1 1
 30340 1 1 1 1
 30341 1 1 1 1
 30342 1 1 1 1
 30347 1 1 1 1
 30350 1 1 1 1
 30351 1 1 1 1
 30352 1 1 1 1
 30356 1 1 1 1
 30378 1 1 1 1
 30382 1 1 1 1
 30383 1 1 1 1
 30403 1 1 1 1
 30404 1 1 1 1
 30448 1 1 1 1
 30453 1 1 1 1
 30454 1 1 1 1
 30456 1 1 1 1
 30457 1 1 1 1
 30458 1 1 1 1
 30459 1 1 1 1
 30464 1 1 1 1
 30467 1 1 1 1
 30563 1 1 1 1
 30565 1 1 1 1
 30566 1 1 1 1
 30582 1 1 1 1
 30591 1 1 1 1
 30592 1 1 1 1
 30593 1 1 1 1
 30595 1 1 1 1
 30597 1 1 1 1
 30599 1 1 1 1
 30600 1 1 1 1
 30601 1 1 1 1
 30650 2 2 2 2
 30654 2 2 2 2
 30655 2 2 2 2
 30658 2 2 2 2
 30659 2 2 2 2
 30668 2 2 2 2
 30674 2 2 2 2
 30675 2 2 2 2
 30676 2 2 2 2
 30695 2 2 2 2
 30709 2 2 2 2
 30710 2 2 2 2
 30712 2 2 2 2
 30713 2 2 2 2
 30717 2 2 2 2
 30718 2 2 2 2
 30721 2 2 2 2
 30743 2 2 2 2
 30744 2 2 2 2
 30745 2 2 2 2
 30765 2 2 2 2
 30770 2 2 2 2
 30771 2 2 2 2
 30772 2 2 2 2
 30793 2 2 2 2
 30867 2 2 2 2
 30887 2 2 2 2
 30888 2 2 2 2
 30934 2 2 2 2
 30940 2 2 2 2
 30941 2 2 2 2
 30942 2 2 2 2
 30944 2 2 2 2
 30945 2 2 2 2
 31074 2 2 2 2
 31076 2 2 2 2
 31077 2 2 2 2
 31082 2 2 2 2
 31499 1 1 1 1
 31500 1 1 1 1
 31513 1 1 1 1
 31514 1 1 1 1
 32311 1 1 1 1
 32313 1 1 1 1
 32319 1 1 1 1
 32321 1 1 1 1
 32323 1 1 1 1
 32324 1 1 1 1
 32325 1 1 1 1
 32345 1 1 1 1
 32348 1 1 1 1
 32349 1 1 1 1
 32350 1 1 1 1
 32351 1 1 1 1
 32422 1 1 1 1
 32423 1 1 1 1
 32424 1 1 1 1
 32567 1 1 1 1
 32710 1 1 1 1
 32711 1 1 1 1
 32712 1 1 1 1
 32769 1 1 1 1
 32787 1 1 1 1
 32793 1 1 1 1
 32795 1 1 1 1
 32796 1 1 1 1
 32797 1 1 1 1
 32798 1 1 1 1
 32925 2 2 2 2
 32927 2 2 2 2
 32932 2 2 2 2
 32934 2 2 2 2
 32936 2 2 2 2
 32937 2 2 2 2
 32941 2 2 2 2
 32944 2 2 2 2
 32950 2 2 2 2
 32951 2 2 2 2
 32955 2 2 2 2
 32956 2 2 2 2
 32973 2 2 2 2
 32988 2 2 2 2
 32990 2 2 2 2
 33053 2 2 2 2
 33054 2 2 2 2
 33057 2 2 2 2
 33058 2 2 2 2
 33062 2 2 2 2
 33413 1 1 1 1
 33414 1 1 1 1
 33415 1 1 1 1
 33416 1 1 1 1
 33417 1 1 1 1
 33935 1 1 1 1
 33936 1 1 1 1
 33937 1 1 1 1
 33943 1 1 1 1
 33966 1 1 1 1
 33967 1 1 1 1
 33969 1 1 1 1
 33970 1 1 1 1
 33971 1 1 1 1
 33974 1 1 1 1
 33993 1 1 1 1
 33994 1 1 1 1
 34106 1 1 1 1
 34109 1 1 1 1
 34111 1 1 1 1
 34112 1 1 1 1
 34115 1 1 1 1
 34116 1 1 1 1
 34118 1 1 1 1
 34119 1 1 1 1
 34140 1 1 1 1
 34147 1 1 1 1
 34148 1 1 1 1
 34149 1 1 1 1
 34231 1 1 1 1
 34233 1 1 1 1
 34234 1 1 1 1
 34238 1 1 1 1
 34239 1 1 1 1
 34483 2 2 2 2
 34484 2 2 2 2
 34485 2 2 2 2
 34677 1 1 1 1
 34679 1 1 1 1
 34680 1 1 1 1
 34681 1 1 1 1
 34685 1 1 1 1
 35193 1 1 1 1
 35201 1 1 1 1
 35204 1 1 1 1
 35207 1 1 1 1
 35208 1 1 1 1
 35211 1 1 1 1
 35212 1 1 1 1
 35216 1 1 1 1
 35218 1 1 1 1
 35219 1 1 1 1
 35222 1 1 1 1
 35223 1 1 1 1
 35248 1 1 1 1
 35249 1 1 1 1
 35252 1 1 1 1
 35253 1 1 1 1
 35266 1 1 1 1
 35268 1 1 1 1
 35269 1 1 1 1
 35318 1 1 1 1
 35321 1 1 1 1
 35322 1 1 1 1
 35323 1 1 1 1
 35324 1 1 1 1
 35331 1 1 1 1
 35332 1 1 1 1
 35333 1 1 1 1
 35334 1 1 1 1
 35427 1 1 1 1
 35428 1 1 1 1
 35430 1 1 1 1
 35448 1 1 1 1
 35459 1 1 1 1
 35460 1 1 1 1
 35462 1 1 1 1
 35463 1 1 1 1
 35464 1 1 1 1
 35465 1 1 1 1
 35479 1 1 1 1
 35530 2 2 2 2
 35534 2 2 2 2
 35535 2 2 2 2
 35540 2 2 2 2
 35541 2 2 2 2
 35559 2 2 2 2
 35565 2 2 2 2
 35566 2 2 2 2
 35567 2 2 2 2
 35592 2 2 2 2
 35608 2 2 2 2
 35609 2 2 2 2
 35612 2 2 2 2
 35613 2 2 2 2
 35616 2 2 2 2
 35617 2 2 2 2
 35633 2 2 2 2
 35634 2 2 2 2
 35661 2 2 2 2
 35663 2 2 2 2
 35664 2 2 2 2
 35665 2 2 2 2
 35668 2 2 2 2
 35685 2 2 2 2
 35794 2 2 2 2
 35806 2 2 2 2
 35843 2 2 2 2
 35848 2 2 2 2
 35849 2 2 2 2
 35850 2 2 2 2
 35851 2 2 2 2
 35852 2 2 2 2
 35853 2 2 2 2
 36005 2 2 2 2
 36010 2 2 2 2
 36011 2 2 2 2
 36013 2 2 2 2
 36016 2 2 2 2
 36017 2 2 2 2
 36018 2 2 2 2
 36398 1 1 1 1
 36399 1 1 1 1
 36415 1 1 1 1
 37158 1 1 1 1
 37159 1 1 1 1
 37166 1 1 1 1
 37167 1 1 1 1
 37168 1 1 1 1
 37188 1 1 1 1
 37190 1 1 1 1
 37192 1 1 1 1
 37194 1 1 1 1
 37258 1 1 1 1
 37368 1 1 1 1
 37505 1 1 1 1
 37508 1 1 1 1
 37509 1 1 1 1
 37510 1 1 1 1
 37572 1 1 1 1
 37596 1 1 1 1
 37598 1 1 1 1
 37604 1 1 1 1
 37606 1 1 1 1
 37607 1 1 1 1
 37608 1 1 1 1
 37609 1 1 1 1
 37719 2 2 2 2
 37764 2 2 2 2
 37768 2 2 2 2
 37770 2 2 2 2
 37777 2 2 2 2
 37779 2 2 2 2
 37780 2 2 2 2
 37788 2 2 2 2
 37790 2 2 2 2
 37805 2 2 2 2
 37806 2 2 2 2
 37807 2 2 2 2
 37821 2 2 2 2
 37822 2 2 2 2
 37889 2 2 2 2
 37890 2 2 2 2
 37891 2 2 2 2
 37894 2 2 2 2
 37895 2 2 2 2
 38199 1 1 1 1
 38200 1 1 1 1
 38201 1 1 1 1
 38203 1 1 1 1
 38204 1 1 1 1
 38757 1 1 1 1
 38763 1 1 1 1
 38764 1 1 1 1
 38789 1 1 1 1
 38791 1 1 1 1
 38792 1 1 1 1
 38793 1 1 1 1
 38794 1 1 1 1
 38812 1 1 1 1
 38813 1 1 1 1
 38817 1 1 1 1
 38818 1 1 1 1
 38919 1 1 1 1
 38920 1 1 1 1
 38921 1 1 1 1
 38923 1 1 1 1
 38925 1 1 1 1
 38928 1 1 1 1
 38929 1 1 1 1
 38949 1 1 1 1
 38957 1 1 1 1
 38958 1 1 1 1
 38959 1 1 1 1
 38960 1 1 1 1
 38961 1 1 1 1
 38974 1 1 1 1
 39040 1 1 1 1
 39041 1 1 1 1
 39042 1 1 1 1
 39043 1 1 1 1
 39045 1 1 1 1
 39047 1 1 1 1
 39050 1 1 1 1
 39056 1 1 1 1
 39329 2 2 2 2
 39330 2 2 2 2
 39331 2 2 2 2
 39335 2 2 2 2
 39579 1 1 1 1
 39580 1 1 1 1
 39609 1 1 1 1
 39610 1 1 1 1
 39612 1 1 1 1
 39613 1 1 1 1
 39614 1 1 1 1
 40109 1 1 1 1
 40110 1 1 1 1
 40114 1 1 1 1
 40115 1 1 1 1
 40116 1 1 1 1
 40120 1 1 1 1
 40121 1 1 1 1
 40122 1 1 1 1
 40124 1 1 1 1
 40125 1 1 1 1
 40129 1 1 1 1
 40133 1 1 1 1
 40134 1 1 1 1
 40149 1 1 1 1
 40157 1 1 1 1
 40159 1 1 1 1
 40160 1 1 1 1
 40161 1 1 1 1
 40162 1 1 1 1
 40208 1 1 1 1
 40209 1 1 1 1
 40211 1 1 1 1
 40212 1 1 1 1
 40214 1 1 1 1
 40220 1 1 1 1
 40221 1 1 1 1
 40307 1 1 1 1
 40309 1 1 1 1
 40310 1 1 1 1
 40311 1 1 1 1
 40330 1 1 1 1
 40333 1 1 1 1
 40340 1 1 1 1
 40342 1 1 1 1
 40343 1 1 1 1
 40349 1 1 1 1
 40350 1 1 1 1
 40353 1 1 1 1
 40354 1 1 1 1
 40367 1 1 1 1
 40368 1 1 1 1
 40418 2 2 2 2
 40425 2 2 2 2
 40426 2 2 2 2
 40428 2 2 2 2
 40451 2 2 2 2
 40453 2 2 2 2
 40454 2 2 2 2
 40455 2 2 2 2
 40468 2 2 2 2
 40470 2 2 2 2
 40488 2 2 2 2
 40494 2 2 2 2
 40498 2 2 2 2
 40499 2 2 2 2
 40501 2 2 2 2
 40502 2 2 2 2
 40513 2 2 2 2
 40548 2 2 2 2
 40550 2 2 2 2
 40551 2 2 2 2
 40552 2 2 2 2
 40554 2 2 2 2
 40579 2 2 2 2
 40691 2 2 2 2
 40699 2 2 2 2
 40734 2 2 2 2
 40737 2 2 2 2
 40738 2 2 2 2
 40739 2 2 2 2
 40740 2 2 2 2
 40912 2 2 2 2
 40914 2 2 2 2
 40916 2 2 2 2
 40917 2 2 2 2
 40918 2 2 2 2
 40919 2 2 2 2
 41281 1 1 1 1
 41282 1 1 1 1
 41283 1 1 1 1
 41312 1 1 1 1
 41313 1 1 1 1
 41988 1 1 1 1
 41989 1 1 1 1
 41991 1 1 1 1
 41995 1 1 1 1
 41997 1 1 1 1
 41998 1 1 1 1
 41999 1 1 1 1
 42008 1 1 1 1
 42018 1 1 1 1
 42019 1 1 1 1
 42021 1 1 1 1
 42142 1 1 1 1
 42143 1 1 1 1
 42145 1 1 1 1
 42146 1 1 1 1
 42263 1 1 1 1
 42276 1 1 1 1
 42278 1 1 1 1
 42280 1 1 1 1
 42281 1 1 1 1
 42343 1 1 1 1
 42364 1 1 1 1
 42371 1 1 1 1
 42372 1 1 1 1
 42374 1 1 1 1
 42375 1 1 1 1
 42496 2 2 2 2
 42517 2 2 2 2
 42549 2 2 2 2
 42551 2 2 2 2
 42552 2 2 2 2
 42556 2 2 2 2
 42560 2 2 2 2
 42561 2 2 2 2
 42576 2 2 2 2
 42585 2 2 2 2
 42586 2 2 2 2
 42587 2 2 2 2
 42588 2 2 2 2
 42589 2 2 2 2
 42591 2 2 2 2
 42603 2 2 2 2
 42671 2 2 2 2
 42672 2 2 2 2
 42673 2 2 2 2
 42674 2 2 2 2
 42675 2 2 2 2
 42917 1 1 1 1
 42919 1 1 1 1
 42921 1 1 1 1
 42922 1 1 1 1
 42935 1 1 1 1
 43453 1 1 1 1
 43454 1 1 1 1
 43480 1 1 1 1
 43481 1 1 1 1
 43492 1 1 1 1
 43504 1 1 1 1
 43507 1 1 1 1
 43508 1 1 1 1
 43604 1 1 1 1
 43605 1 1 1 1
 43606 1 1 1 1
 43608 1 1 1 1
 43609 1 1 1 1
 43611 1 1 1 1
 43612 1 1 1 1
 43613 1 1 1 1
 43636 1 1 1 1
 43642 1 1 1 1
 43643 1 1 1 1
 43644 1 1 1 1
 43645 1 1 1 1
 43646 1 1 1 1
 43656 1 1 1 1
 43659 1 1 1 1
 43735 1 1 1 1
 43740 1 1 1 1
 43741 1 1 1 1
 43742 1 1 1 1
 43744 1 1 1 1
 43747 1 1 1 1
 43748 1 1 1 1
 44046 2 2 2 2
 44047 2 2 2 2
 44052 2 2 2 2
 44053 2 2 2 2
 44386 1 1 1 1
 44388 1 1 1 1
 44391 1 1 1 1
 44392 1 1 1 1
 44561 1 1 1 1
 44852 1 1 1 1
 44853 1 1 1 1
 44856 1 1 1 1
 44857 1 1 1 1
 44858 1 1 1 1
 44860 1 1 1 1
 44864 1 1 1 1
 44871 1 1 1 1
 44877 1 1 1 1
 44879 1 1 1 1
 44881 1 1 1 1
 44882 1 1 1 1
 44910 1 1 1 1
 44913 1 1 1 1
 44915 1 1 1 1
 45010 1 1 1 1
 45013 1 1 1 1
 45014 1 1 1 1
 45015 1 1 1 1
 45033 1 1 1 1
 45037 1 1 1 1
 45047 1 1 1 1
 45049 1 1 1 1
 45050 1 1 1 1
 45052 1 1 1 1
 45053 1 1 1 1
 45059 1 1 1 1
 45060 1 1 1 1
 45061 1 1 1 1
 45067 1 1 1 1
 45068 1 1 1 1
 45122 2 2 2 2
 45126 2 2 2 2
 45127 2 2 2 2
 45151 2 2 2 2
 45153 2 2 2 2
 45154 2 2 2 2
 45172 2 2 2 2
 45175 2 2 2 2
 45184 2 2 2 2
 45195 2 2 2 2
 45199 2 2 2 2
 45201 2 2 2 2
 45202 2 2 2 2
 45203 2 2 2 2
 45209 2 2 2 2
 45252 2 2 2 2
 45254 2 2 2 2
 45255 2 2 2 2
 45259 2 2 2 2
 45288 2 2 2 2
 45397 2 2 2 2
 45408 2 2 2 2
 45429 2 2 2 2
 45434 2 2 2 2
 45439 2 2 2 2
 45441 2 2 2 2
 45442 2 2 2 2
 45641 2 2 2 2
 45643 2 2 2 2
 45644 2 2 2 2
 45645 2 2 2 2
 45646 2 2 2 2
 45647 2 2 2 2
 45648 2 2 2 2
 46021 1 1 1 1
 46026 1 1 1 1
 46027 1 1 1 1
 46638 1 1 1 1
 46639 1 1 1 1
 46640 1 1 1 1
 46641 1 1 1 1
 46645 1 1 1 1
 46647 1 1 1 1
 46648 1 1 1 1
 46659 1 1 1 1
 46734 1 1 1 1
 46735 1 1 1 1
 46736 1 1 1 1
 46740 1 1 1 1
 46855 1 1 1 1
 46862 1 1 1 1
 46864 1 1 1 1
 46865 1 1 1 1
 46914 1 1 1 1
 46926 1 1 1 1
 46929 1 1 1 1
 46930 1 1 1 1
 46932 1 1 1 1
 47067 2 2 2 2
 47068 2 2 2 2
 47098 2 2 2 2
 47103 2 2 2 2
 47139 2 2 2 2
 47140 2 2 2 2
 47145 2 2 2 2
 47146 2 2 2 2
 47149 2 2 2 2
 47173 2 2 2 2
 47174 2 2 2 2
 47175 2 2 2 2
 47176 2 2 2 2
 47177 2 2 2 2
 47178 2 2 2 2
 47182 2 2 2 2
 47255 2 2 2 2
 47256 2 2 2 2
 47257 2 2 2 2
 47258 2 2 2 2
 47274 2 2 2 2
 47283 2 2 2 2
 47466 1 1 1 1
 47469 1 1 1 1
 48015 1 1 1 1
 48047 1 1 1 1
 48048 1 1 1 1
 48063 1 1 1 1
 48064 1 1 1 1
 48173 1 1 1 1
 48174 1 1 1 1
 48175 1 1 1 1
 48177 1 1 1 1
 48178 1 1 1 1
 48179 1 1 1 1
 48197 1 1 1 1
 48198 1 1 1 1
 48206 1 1 1 1
 48207 1 1 1 1
 48208 1 1 1 1
 48209 1 1 1 1
 48210 1 1 1 1
 48211 1 1 1 1
 48226 1 1 1 1
 48231 1 1 1 1
 48294 1 1 1 1
 48295 1 1 1 1
 48303 1 1 1 1
 48310 1 1 1 1
 48311 1 1 1 1
 48313 1 1 1 1
 48314 1 1 1 1
 48585 2 2 2 2
 48609 2 2 2 2
 48613 2 2 2 2
 48614 2 2 2 2
 48961 1 1 1 1
 48993 1 1 1 1
 48994 1 1 1 1
 49001 1 1 1 1
 49006 1 1 1 1
 49007 1 1 1 1
 49117 1 1 1 1
 49122 1 1 1 1
 49390 1 1 1 1
 49392 1 1 1 1
 49393 1 1 1 1
 49394 1 1 1 1
 49397 1 1 1 1
 49398 1 1 1 1
 49399 1 1 1 1
 49407 1 1 1 1
 49412 1 1 1 1
 49413 1 1 1 1
 49436 1 1 1 1
 49511 1 1 1 1
 49515 1 1 1 1
 49516 1 1 1 1
 49517 1 1 1 1
 49519 1 1 1 1
 49539 1 1 1 1
 49548 1 1 1 1
 49556 1 1 1 1
 49557 1 1 1 1
 49558 1 1 1 1
 49559 1 1 1 1
 49561 1 1 1 1
 49564 1 1 1 1
 49565 1 1 1 1
 49566 1 1 1 1
 49567 1 1 1 1
 49614 2 2 2 2
 49616 2 2 2 2
 49617 2 2 2 2
 49634 2 2 2 2
 49635 2 2 2 2
 49649 2 2 2 2
 49665 2 2 2 2
 49669 2 2 2 2
 49677 2 2 2 2
 49682 2 2 2 2
 49685 2 2 2 2
 49686 2 2 2 2
 49687 2 2 2 2
 49691 2 2 2 2
 49745 2 2 2 2
 49749 2 2 2 2
 49752 2 2 2 2
 49781 2 2 2 2
 49796 2 2 2 2
 49901 2 2 2 2
 49912 2 2 2 2
 49925 2 2 2 2
 49927 2 2 2 2
 49934 2 2 2 2
 49935 2 2 2 2
 49975 2 2 2 2
 50139 2 2 2 2
 50140 2 2 2 2
 50143 2 2 2 2
 50175 2 2 2 2
 50178 2 2 2 2
 50179 2 2 2 2
 50181 2 2 2 2
 50182 2 2 2 2
 50183 2 2 2 2
 50185 2 2 2 2
 50509 1 1 1 1
 50510 1 1 1 1
 50511 1 1 1 1
 50514 1 1 1 1
 51071 1 1 1 1
 51072 1 1 1 1
 51073 1 1 1 1
 51076 1 1 1 1
 51077 1 1 1 1
 51078 1 1 1 1
 51079 1 1 1 1
 51085 1 1 1 1
 51140 1 1 1 1
 51141 1 1 1 1
 51143 1 1 1 1
 51146 1 1 1 1
 51251 1 1 1 1
 51254 1 1 1 1
 51257 1 1 1 1
 51258 1 1 1 1
 51298 1 1 1 1
 51299 1 1 1 1
 51300 1 1 1 1
 51301 1 1 1 1
 51302 1 1 1 1
 51468 2 2 2 2
 51470 2 2 2 2
 51492 2 2 2 2
 51496 2 2 2 2
 51545 2 2 2 2
 51548 2 2 2 2
 51552 2 2 2 2
 51587 2 2 2 2
 51588 2 2 2 2
 51589 2 2 2 2
 51590 2 2 2 2
 51592 2 2 2 2
 51596 2 2 2 2
 51597 2 2 2 2
 51660 2 2 2 2
 51661 2 2 2 2
 51662 2 2 2 2
 51673 2 2 2 2
 51674 2 2 2 2
 51678 2 2 2 2
 51679 2 2 2 2
 51818 1 1 1 1
 51824 1 1 1 1
 51825 1 1 1 1
 51826 1 1 1 1
 52426 1 1 1 1
 52427 1 1 1 1
 52434 1 1 1 1
 52435 1 1 1 1
 52542 1 1 1 1
 52543 1 1 1 1
 52546 1 1 1 1
 52549 1 1 1 1
 52550 1 1 1 1
 52551 1 1 1 1
 52553 1 1 1 1
 52572 1 1 1 1
 52579 1 1 1 1
 52580 1 1 1 1
 52582 1 1 1 1
 52583 1 1 1 1
 52665 1 1 1 1
 52667 1 1 1 1
 52668 1 1 1 1
 52671 1 1 1 1
 52673 1 1 1 1
 52674 1 1 1 1
 52954 2 2 2 2
 52955 2 2 2 2
 52976 2 2 2 2
 52977 2 2 2 2
 52978 2 2 2 2
 53370 1 1 1 1
 53380 1 1 1 1
 53393 1 1 1 1
 53396 1 1 1 1
 53397 1 1 1 1
 53405 1 1 1 1
 53481 1 1 1 1
 53703 1 1 1 1
 53704 1 1 1 1
 53705 1 1 1 1
 53706 1 1 1 1
 53713 1 1 1 1
 53717 1 1 1 1
 53718 1 1 1 1
 53721 1 1 1 1
 53777 1 1 1 1
 53779 1 1 1 1
 53780 1 1 1 1
 53797 1 1 1 1
 53801 1 1 1 1
 53805 1 1 1 1
 53806 1 1 1 1
 53807 1 1 1 1
 53811 1 1 1 1
 53813 1 1 1 1
 53814 1 1 1 1
 53872 2 2 2 2
 53874 2 2 2 2
 53875 2 2 2 2
 53889 2 2 2 2
 53890 2 2 2 2
 53906 2 2 2 2
 53918 2 2 2 2
 53920 2 2 2 2
 53930 2 2 2 2
 53933 2 2 2 2
 53934 2 2 2 2
 53935 2 2 2 2
 53938 2 2 2 2
 53995 2 2 2 2
 53999 2 2 2 2
 54002 2 2 2 2
 54025 2 2 2 2
 54040 2 2 2 2
 54163 2 2 2 2
 54169 2 2 2 2
 54176 2 2 2 2
 54179 2 2 2 2
 54181 2 2 2 2
 54217 2 2 2 2
 54226 2 2 2 2
 54228 2 2 2 2
 54229 2 2 2 2
 54399 2 2 2 2
 54400 2 2 2 2
 54405 2 2 2 2
 54406 2 2 2 2
 54432 2 2 2 2
 54435 2 2 2 2
 54436 2 2 2 2
 54437 2 2 2 2
 54440 2 2 2 2
 54441 2 2 2 2
 54442 2 2 2 2
 54443 2 2 2 2
 54447 2 2 2 2
 54771 1 1 1 1
 54773 1 1 1 1
 54774 1 1 1 1
 54775 1 1 1 1
 54793 1 1 1 1
 55075 1 1 1 1
 55273 1 1 1 1
 55276 1 1 1 1
 55277 1 1 1 1
 55279 1 1 1 1
 55280 1 1 1 1
 55281 1 1 1 1
 55318 1 1 1 1
 55319 1 1 1 1
 55321 1 1 1 1
 55399 1 1 1 1
 55400 1 1 1 1
 55401 1 1 1 1
 55404 1 1 1 1
 55406 1 1 1 1
 55408 1 1 1 1
 55429 1 1 1 1
 55434 1 1 1 1
 55435 1 1 1 1
 55436 1 1 1 1
 55437 1 1 1 1
 55637 2 2 2 2
 55638 2 2 2 2
 55639 2 2 2 2
 55640 2 2 2 2
 55660 2 2 2 2
 55661 2 2 2 2
 55721 2 2 2 2
 55722 2 2 2 2
 55725 2 2 2 2
 55735 2 2 2 2
 55750 2 2 2 2
 55751 2 2 2 2
 55752 2 2 2 2
 55756 2 2 2 2
 55759 2 2 2 2
 55810 2 2 2 2
 55811 2 2 2 2
 55825 2 2 2 2
 55826 2 2 2 2
 55829 2 2 2 2
 55831 2 2 2 2
 55832 2 2 2 2
 55932 1 1 1 1
 55933 1 1 1 1
 55935 1 1 1 1
 55936 1 1 1 1
 55937 1 1 1 1
 56503 1 1 1 1
 56505 1 1 1 1
 56506 1 1 1 1
 56518 1 1 1 1
 56615 1 1 1 1
 56617 1 1 1 1
 56618 1 1 1 1
 56619 1 1 1 1
 56620 1 1 1 1
 56627 1 1 1 1
 56630 1 1 1 1
 56632 1 1 1 1
 56633 1 1 1 1
 56634 1 1 1 1
 56696 1 1 1 1
 56697 1 1 1 1
 56698 1 1 1 1
 56700 1 1 1 1
 57003 2 2 2 2
 57023 2 2 2 2
 57024 2 2 2 2
 57445 1 1 1 1
 57447 1 1 1 1
 57448 1 1 1 1
 57454 1 1 1 1
 57455 1 1 1 1
 57456 1 1 1 1
 57468 1 1 1 1
 57513 1 1 1 1
 57514 1 1 1 1
 57515 1 1 1 1
 57663 1 1 1 1
 57664 1 1 1 1
 57665 1 1 1 1
 57674 1 1 1 1
 57676 1 1 1 1
 57677 1 1 1 1
 57683 1 1 1 1
 57684 1 1 1 1
 57710 1 1 1 1
 57711 1 1 1 1
 57720 1 1 1 1
 57721 1 1 1 1
 57724 1 1 1 1
 57726 1 1 1 1
 57732 1 1 1 1
 57733 1 1 1 1
 57739 1 1 1 1
 57740 1 1 1 1
 57742 1 1 1 1
 57801 2 2 2 2
 57808 2 2 2 2
 57810 2 2 2 2
 57811 2 2 2 2
 57824 2 2 2 2
 57825 2 2 2 2
 57847 2 2 2 2
 57857 2 2 2 2
 57861 2 2 2 2
 57864 2 2 2 2
 57869 2 2 2 2
 57870 2 2 2 2
 57872 2 2 2 2
 57938 2 2 2 2
 57940 2 2 2 2
 57941 2 2 2 2
 57962 2 2 2 2
 57974 2 2 2 2
 58124 2 2 2 2
 58129 2 2 2 2
 58130 2 2 2 2
 58133 2 2 2 2
 58134 2 2 2 2
 58164 2 2 2 2
 58165 2 2 2 2
 58173 2 2 2 2
 58179 2 2 2 2
 58181 2 2 2 2
 58182 2 2 2 2
 58358 2 2 2 2
 58364 2 2 2 2
 58401 2 2 2 2
 58402 2 2 2 2
 58404 2 2 2 2
 58405 2 2 2 2
 58408 2 2 2 2
 58409 2 2 2 2
 58410 2 2 2 2
 58744 1 1 1 1
 58745 1 1 1 1
 58753 1 1 1 1
 58754 1 1 1 1
 58757 1 1 1 1
 58763 1 1 1 1
 59017 1 1 1 1
 59186 1 1 1 1
 59187 1 1 1 1
 59190 1 1 1 1
 59191 1 1 1 1
 59212 1 1 1 1
 59215 1 1 1 1
 59216 1 1 1 1
 59252 1 1 1 1
 59254 1 1 1 1
 59255 1 1 1 1
 59258 1 1 1 1
 59282 1 1 1 1
 59284 1 1 1 1
 59285 1 1 1 1
 59286 1 1 1 1
 59289 1 1 1 1
