 8161   # of boundary nodes
 2567 2 2 2 2
 2568 2 2 2 2
 2574 2 2 2 2
 2575 2 2 2 2
 2578 2 2 2 2
 2595 2 2 2 2
 2598 2 2 2 2
 2601 2 2 2 2
 2602 2 2 2 2
 2695 2 2 2 2
 2696 2 2 2 2
 2697 2 2 2 2
 2698 2 2 2 2
 2709 2 2 2 2
 2710 2 2 2 2
 2712 2 2 2 2
 2745 2 2 2 2
 2771 2 2 2 2
 2778 2 2 2 2
 2779 2 2 2 2
 2780 2 2 2 2
 2783 2 2 2 2
 2790 2 2 2 2
 2791 2 2 2 2
 2792 2 2 2 2
 2793 2 2 2 2
 2794 2 2 2 2
 2798 2 2 2 2
 2805 2 2 2 2
 2866 1 1 1 1
 2871 1 1 1 1
 2914 1 1 1 1
 2915 1 1 1 1
 2927 1 1 1 1
 2928 1 1 1 1
 2929 1 1 1 1
 2930 1 1 1 1
 2939 1 1 1 1
 2959 1 1 1 1
 2963 1 1 1 1
 2964 1 1 1 1
 2965 1 1 1 1
 2966 1 1 1 1
 3047 1 1 1 1
 3048 1 1 1 1
 3184 2 2 2 2
 3187 2 2 2 2
 3188 2 2 2 2
 3190 2 2 2 2
 3191 2 2 2 2
 3194 2 2 2 2
 3195 2 2 2 2
 3196 2 2 2 2
 3197 2 2 2 2
 3198 2 2 2 2
 3199 2 2 2 2
 3200 2 2 2 2
 3202 2 2 2 2
 3203 2 2 2 2
 3205 2 2 2 2
 3207 2 2 2 2
 3208 2 2 2 2
 3209 2 2 2 2
 3211 2 2 2 2
 3212 2 2 2 2
 3213 2 2 2 2
 3214 2 2 2 2
 3215 2 2 2 2
 3217 2 2 2 2
 3218 2 2 2 2
 3219 2 2 2 2
 3220 2 2 2 2
 3222 2 2 2 2
 3223 2 2 2 2
 3224 2 2 2 2
 3226 2 2 2 2
 3227 2 2 2 2
 3228 2 2 2 2
 3233 1 1 1 1
 3234 1 1 1 1
 3238 1 1 1 1
 3255 2 2 2 2
 3256 2 2 2 2
 3257 2 2 2 2
 3258 2 2 2 2
 3259 2 2 2 2
 3264 2 2 2 2
 3301 1 1 1 1
 3302 1 1 1 1
 3308 1 1 1 1
 3327 2 2 2 2
 3329 2 2 2 2
 3331 2 2 2 2
 3332 2 2 2 2
 3333 2 2 2 2
 3334 2 2 2 2
 3581 1 1 1 1
 3582 2 2 2 2
 3583 2 2 2 2
 3584 2 2 2 2
 3585 2 2 2 2
 3587 2 2 2 2
 3588 2 2 2 2
 3589 2 2 2 2
 3590 2 2 2 2
 3591 2 2 2 2
 3592 2 2 2 2
 3593 2 2 2 2
 3594 2 2 2 2
 3595 2 2 2 2
 3597 2 2 2 2
 3598 2 2 2 2
 3599 2 2 2 2
 3600 2 2 2 2
 3601 2 2 2 2
 3602 2 2 2 2
 3603 2 2 2 2
 3604 2 2 2 2
 3605 2 2 2 2
 3606 2 2 2 2
 3607 1 1 1 1
 3608 2 2 2 2
 3610 2 2 2 2
 3611 2 2 2 2
 3612 2 2 2 2
 3613 1 1 1 1
 3614 1 1 1 1
 3615 1 1 1 1
 3618 1 1 1 1
 3619 1 1 1 1
 3625 2 2 2 2
 3626 2 2 2 2
 3627 2 2 2 2
 3638 2 2 2 2
 3639 2 2 2 2
 3642 2 2 2 2
 3643 2 2 2 2
 3644 1 1 1 1
 3645 1 1 1 1
 3646 2 2 2 2
 3647 1 1 1 1
 3648 1 1 1 1
 3649 2 2 2 2
 3650 2 2 2 2
 3651 2 2 2 2
 3652 2 2 2 2
 3653 2 2 2 2
 3654 2 2 2 2
 3655 2 2 2 2
 3656 2 2 2 2
 3657 2 2 2 2
 3658 2 2 2 2
 3659 2 2 2 2
 3660 2 2 2 2
 3661 2 2 2 2
 3662 2 2 2 2
 3663 2 2 2 2
 3664 2 2 2 2
 3665 2 2 2 2
 3666 2 2 2 2
 3667 2 2 2 2
 3668 2 2 2 2
 3669 2 2 2 2
 3670 2 2 2 2
 3673 2 2 2 2
 3674 2 2 2 2
 3675 2 2 2 2
 3676 2 2 2 2
 3677 2 2 2 2
 3680 2 2 2 2
 3681 2 2 2 2
 3682 2 2 2 2
 3683 2 2 2 2
 3684 2 2 2 2
 3685 2 2 2 2
 3687 2 2 2 2
 3689 2 2 2 2
 3693 2 2 2 2
 3694 2 2 2 2
 3707 2 2 2 2
 3708 2 2 2 2
 3711 2 2 2 2
 3712 2 2 2 2
 3714 2 2 2 2
 3715 2 2 2 2
 3768 2 2 2 2
 3769 2 2 2 2
 3956 2 2 2 2
 3973 2 2 2 2
 3974 2 2 2 2
 3976 2 2 2 2
 3977 2 2 2 2
 3979 2 2 2 2
 3980 2 2 2 2
 3982 2 2 2 2
 3984 2 2 2 2
 3986 2 2 2 2
 3990 2 2 2 2
 3992 2 2 2 2
 3994 2 2 2 2
 3996 2 2 2 2
 3997 2 2 2 2
 3998 2 2 2 2
 3999 2 2 2 2
 4001 2 2 2 2
 4003 2 2 2 2
 4004 2 2 2 2
 4005 2 2 2 2
 4006 2 2 2 2
 4007 2 2 2 2
 4008 2 2 2 2
 4009 2 2 2 2
 4010 2 2 2 2
 4011 2 2 2 2
 4012 2 2 2 2
 4013 2 2 2 2
 4015 2 2 2 2
 4018 2 2 2 2
 4020 2 2 2 2
 4021 2 2 2 2
 4022 2 2 2 2
 4023 2 2 2 2
 4024 2 2 2 2
 4025 2 2 2 2
 4027 2 2 2 2
 4039 1 1 1 1
 4049 1 1 1 1
 4050 1 1 1 1
 4051 1 1 1 1
 4052 1 1 1 1
 4063 1 1 1 1
 4065 1 1 1 1
 4066 1 1 1 1
 4089 1 1 1 1
 4090 1 1 1 1
 4100 1 1 1 1
 4106 1 1 1 1
 4143 1 1 1 1
 4144 1 1 1 1
 4152 1 1 1 1
 4154 1 1 1 1
 4155 1 1 1 1
 4156 1 1 1 1
 4157 1 1 1 1
 4193 2 2 2 2
 4194 2 2 2 2
 4195 2 2 2 2
 4196 2 2 2 2
 4199 1 1 1 1
 4202 1 1 1 1
 4203 1 1 1 1
 4222 1 1 1 1
 4223 1 1 1 1
 4224 1 1 1 1
 4227 1 1 1 1
 4228 1 1 1 1
 4229 1 1 1 1
 4231 2 2 2 2
 4232 2 2 2 2
 4236 2 2 2 2
 4237 2 2 2 2
 4238 2 2 2 2
 4240 2 2 2 2
 4241 2 2 2 2
 4242 2 2 2 2
 4251 2 2 2 2
 4273 1 1 1 1
 4284 1 1 1 1
 4287 1 1 1 1
 4288 1 1 1 1
 4298 1 1 1 1
 4303 2 2 2 2
 4305 2 2 2 2
 4306 2 2 2 2
 4312 2 2 2 2
 4317 2 2 2 2
 4319 2 2 2 2
 4320 2 2 2 2
 4321 2 2 2 2
 4344 2 2 2 2
 4346 2 2 2 2
 4350 2 2 2 2
 4351 2 2 2 2
 4352 2 2 2 2
 4353 2 2 2 2
 4511 2 2 2 2
 4512 2 2 2 2
 4514 2 2 2 2
 4515 2 2 2 2
 4522 2 2 2 2
 4523 2 2 2 2
 4526 2 2 2 2
 4527 2 2 2 2
 4619 2 2 2 2
 4620 2 2 2 2
 4621 2 2 2 2
 4622 2 2 2 2
 4659 2 2 2 2
 4660 2 2 2 2
 4662 2 2 2 2
 4663 2 2 2 2
 4665 2 2 2 2
 4666 2 2 2 2
 4667 2 2 2 2
 4668 2 2 2 2
 4669 2 2 2 2
 4670 2 2 2 2
 4671 2 2 2 2
 4672 2 2 2 2
 4675 2 2 2 2
 4676 2 2 2 2
 4677 2 2 2 2
 4678 2 2 2 2
 4679 2 2 2 2
 4769 1 1 1 1
 4776 1 1 1 1
 4816 1 1 1 1
 4817 1 1 1 1
 4833 1 1 1 1
 4834 1 1 1 1
 4835 1 1 1 1
 4847 1 1 1 1
 4873 1 1 1 1
 4878 1 1 1 1
 4880 1 1 1 1
 4881 1 1 1 1
 4882 1 1 1 1
 4962 1 1 1 1
 4963 1 1 1 1
 5114 2 2 2 2
 5116 2 2 2 2
 5117 2 2 2 2
 5121 2 2 2 2
 5135 2 2 2 2
 5136 2 2 2 2
 5137 2 2 2 2
 5140 2 2 2 2
 5141 2 2 2 2
 5148 2 2 2 2
 5149 2 2 2 2
 5150 2 2 2 2
 5154 2 2 2 2
 5156 2 2 2 2
 5157 2 2 2 2
 5165 2 2 2 2
 5166 2 2 2 2
 5175 2 2 2 2
 5180 2 2 2 2
 5181 2 2 2 2
 5182 2 2 2 2
 5183 2 2 2 2
 5184 2 2 2 2
 5185 2 2 2 2
 5189 1 1 1 1
 5193 1 1 1 1
 5194 1 1 1 1
 5279 1 1 1 1
 5283 1 1 1 1
 5288 1 1 1 1
 5289 1 1 1 1
 5290 2 2 2 2
 5292 2 2 2 2
 5323 2 2 2 2
 5327 2 2 2 2
 5328 2 2 2 2
 5329 2 2 2 2
 5330 2 2 2 2
 5331 2 2 2 2
 5334 2 2 2 2
 5336 2 2 2 2
 5338 2 2 2 2
 5616 2 2 2 2
 5617 2 2 2 2
 5618 2 2 2 2
 5619 2 2 2 2
 5620 2 2 2 2
 5621 2 2 2 2
 5622 2 2 2 2
 5623 2 2 2 2
 5624 2 2 2 2
 5627 2 2 2 2
 5628 2 2 2 2
 5629 2 2 2 2
 5630 2 2 2 2
 5631 2 2 2 2
 5632 2 2 2 2
 5633 2 2 2 2
 5634 2 2 2 2
 5635 2 2 2 2
 5636 2 2 2 2
 5640 2 2 2 2
 5641 2 2 2 2
 5642 2 2 2 2
 5643 2 2 2 2
 5644 2 2 2 2
 5645 2 2 2 2
 5646 2 2 2 2
 5648 2 2 2 2
 5649 2 2 2 2
 5650 2 2 2 2
 5652 2 2 2 2
 5653 2 2 2 2
 5654 2 2 2 2
 5655 2 2 2 2
 5656 2 2 2 2
 5660 2 2 2 2
 5661 2 2 2 2
 5663 2 2 2 2
 5664 2 2 2 2
 5665 2 2 2 2
 5666 2 2 2 2
 5667 2 2 2 2
 5668 2 2 2 2
 5669 2 2 2 2
 5671 2 2 2 2
 5674 2 2 2 2
 5677 2 2 2 2
 5678 2 2 2 2
 5680 2 2 2 2
 5692 2 2 2 2
 5693 2 2 2 2
 5694 2 2 2 2
 5696 2 2 2 2
 5697 2 2 2 2
 5698 2 2 2 2
 5703 2 2 2 2
 5704 2 2 2 2
 5715 2 2 2 2
 5716 2 2 2 2
 5717 1 1 1 1
 5719 1 1 1 1
 5720 1 1 1 1
 5721 1 1 1 1
 5724 1 1 1 1
 5731 1 1 1 1
 5732 1 1 1 1
 5734 1 1 1 1
 5735 1 1 1 1
 5736 1 1 1 1
 5737 1 1 1 1
 5769 2 2 2 2
 5773 2 2 2 2
 5774 2 2 2 2
 5775 2 2 2 2
 5777 2 2 2 2
 5778 2 2 2 2
 5779 2 2 2 2
 5780 2 2 2 2
 5782 2 2 2 2
 5783 2 2 2 2
 5784 2 2 2 2
 5785 2 2 2 2
 5787 2 2 2 2
 5788 1 1 1 1
 5789 2 2 2 2
 5790 1 1 1 1
 5791 2 2 2 2
 5793 1 1 1 1
 5795 2 2 2 2
 5796 2 2 2 2
 5797 2 2 2 2
 5798 1 1 1 1
 5799 2 2 2 2
 5800 1 1 1 1
 5801 1 1 1 1
 5804 1 1 1 1
 5805 1 1 1 1
 5807 2 2 2 2
 5808 2 2 2 2
 5809 1 1 1 1
 5810 1 1 1 1
 5811 2 2 2 2
 5812 2 2 2 2
 5813 2 2 2 2
 5814 2 2 2 2
 5815 2 2 2 2
 5816 2 2 2 2
 5817 2 2 2 2
 5818 2 2 2 2
 5819 2 2 2 2
 5820 2 2 2 2
 5821 2 2 2 2
 5822 2 2 2 2
 5823 2 2 2 2
 5824 2 2 2 2
 5825 2 2 2 2
 5826 2 2 2 2
 5827 2 2 2 2
 5828 2 2 2 2
 5829 2 2 2 2
 5830 2 2 2 2
 5831 2 2 2 2
 5832 2 2 2 2
 5833 2 2 2 2
 5835 2 2 2 2
 5836 2 2 2 2
 5837 2 2 2 2
 5838 2 2 2 2
 5839 2 2 2 2
 5840 2 2 2 2
 5841 2 2 2 2
 5842 2 2 2 2
 5843 2 2 2 2
 5844 2 2 2 2
 5845 2 2 2 2
 5848 2 2 2 2
 5849 2 2 2 2
 5853 2 2 2 2
 5854 2 2 2 2
 5868 2 2 2 2
 5869 1 1 1 1
 5879 1 1 1 1
 5883 2 2 2 2
 6226 2 2 2 2
 6227 2 2 2 2
 6278 2 2 2 2
 6279 2 2 2 2
 6280 2 2 2 2
 6281 2 2 2 2
 6282 2 2 2 2
 6283 2 2 2 2
 6291 2 2 2 2
 6293 2 2 2 2
 6294 2 2 2 2
 6308 1 1 1 1
 6309 1 1 1 1
 6316 1 1 1 1
 6324 1 1 1 1
 6329 1 1 1 1
 6330 1 1 1 1
