 2119
 81 79 84 163 1
 79 82 84 163 1
 164 80 161 160 1
 162 80 164 163 1
 164 162 161 80 1
 84 83 81 165 1
 84 81 163 165 1
 80 160 164 165 1
 83 160 81 165 1
 80 163 81 165 1
 164 163 80 165 1
 81 160 80 165 1
 83 166 160 165 1
 125 160 83 166 1
 164 160 166 165 1
 114 154 83 166 1
 154 125 83 166 1
 153 125 154 166 1
 85 174 162 120 1
 172 85 119 174 1
 172 173 85 174 1
 85 119 174 120 1
 87 175 82 163 1
 82 175 84 163 1
 84 163 175 165 1
 114 83 176 166 1
 84 83 176 114 1
 84 176 83 165 1
 83 176 166 165 1
 84 175 176 165 1
 173 174 177 85 1
 85 177 86 162 1
 86 85 173 177 1
 85 174 177 162 1
 86 162 177 163 1
 173 177 174 178 1
 87 86 179 163 1
 87 179 175 163 1
 86 177 179 163 1
 179 177 175 163 1
 180 177 173 178 1
 180 179 86 177 1
 180 86 173 177 1
 180 87 86 179 1
 106 183 88 92 1
 107 88 183 111 1
 183 91 89 92 1
 183 111 88 95 1
 107 183 88 106 1
 183 106 113 92 1
 89 183 88 95 1
 89 88 183 92 1
 93 89 96 184 1
 96 167 93 184 1
 93 122 91 184 1
 93 91 89 184 1
 89 91 183 184 1
 89 184 183 95 1
 89 96 184 95 1
 183 91 185 184 1
 185 113 90 92 1
 185 90 91 92 1
 183 185 91 92 1
 116 122 185 90 1
 91 185 122 90 1
 91 122 185 184 1
 115 90 185 113 1
 116 185 115 90 1
 183 113 185 92 1
 94 93 167 186 1
 167 186 93 184 1
 186 93 122 118 1
 94 118 93 186 1
 171 94 167 186 1
 186 122 93 184 1
 119 187 118 94 1
 94 118 186 187 1
 171 94 186 187 1
 171 172 94 187 1
 119 94 172 187 1
 119 172 174 187 1
 116 185 122 188 1
 185 184 122 188 1
 122 184 186 188 1
 122 132 116 188 1
 96 98 168 189 1
 168 167 96 189 1
 189 95 184 96 1
 96 189 167 184 1
 189 186 167 184 1
 189 184 95 183 1
 97 189 111 98 1
 97 96 189 98 1
 189 111 183 95 1
 97 111 189 95 1
 97 189 96 95 1
 98 104 170 190 1
 169 170 104 190 1
 190 111 189 98 1
 98 168 189 190 1
 98 170 168 190 1
 99 101 102 191 1
 100 107 101 191 1
 100 97 107 191 1
 107 191 97 111 1
 103 104 98 191 1
 100 99 97 191 1
 98 97 99 191 1
 103 99 102 191 1
 103 98 99 191 1
 100 101 99 191 1
 105 102 101 191 1
 98 191 104 190 1
 190 191 111 98 1
 97 191 98 111 1
 107 192 101 191 1
 105 101 192 191 1
 103 193 104 191 1
 104 191 193 190 1
 103 102 193 191 1
 105 193 102 191 1
 169 104 103 194 1
 103 194 104 193 1
 169 104 194 190 1
 104 193 194 190 1
 193 195 190 191 1
 193 190 195 194 1
 190 189 111 195 1
 190 111 191 195 1
 105 192 196 191 1
 105 196 193 191 1
 197 105 192 196 1
 191 198 195 111 1
 192 191 107 198 1
 107 198 191 111 1
 107 183 198 111 1
 107 183 200 198 1
 200 113 106 108 1
 107 200 183 106 1
 200 106 113 183 1
 197 196 192 201 1
 107 198 200 202 1
 202 192 107 198 1
 202 192 198 201 1
 199 200 112 203 1
 183 198 203 200 1
 200 113 203 183 1
 200 203 113 108 1
 200 108 112 203 1
 203 112 113 108 1
 204 192 202 201 1
 197 192 204 201 1
 109 205 126 128 1
 129 205 109 128 1
 199 112 207 203 1
 130 207 110 131 1
 112 110 207 131 1
 112 207 135 131 1
 208 112 110 207 1
 130 208 110 207 1
 199 112 208 207 1
 198 111 183 210 1
 183 111 189 210 1
 189 111 195 210 1
 195 111 198 210 1
 211 198 183 210 1
 183 203 198 211 1
 183 113 203 211 1
 112 135 212 115 1
 211 113 203 212 1
 112 113 115 212 1
 112 212 135 207 1
